CustomerID,TotalRevenueByCustomer_x,AveragePurchaseValue_x,AveragePurchaseFrequency_x,CustomerLifespanDays_x,TotalPurchases,TotalRevenueByCustomer_y,AveragePurchaseValue_y,AveragePurchaseFrequency_y,CustomerLifespanDays_y,CLTV
12627,849.09,17.69,6,130,523,849.09,17.69,6,130,13798.2
12628,152.39,16.93,4,60,92,152.39,16.93,4,60,4063.2
12630,483.79,28.46,2,34,161,483.79,28.46,2,34,1935.28
12631,358.94,29.91,1,0,110,358.94,29.91,1,0,0.0
12633,247.06,14.53,4,229,133,247.06,14.53,4,229,13309.48
12635,276.36,16.26,2,65,220,276.36,16.26,2,65,2113.8
12637,1440.23,16.0,9,256,792,1440.23,16.0,9,256,36864.0
12638,151.74,15.17,1,0,140,151.74,15.17,1,0,0.0
12639,73.5,18.38,1,0,38,73.5,18.38,1,0,0.0
12640,210.76,21.08,2,58,76,210.76,21.08,2,58,2445.28
12642,195.68,17.79,3,82,126,195.68,17.79,3,82,4376.34
12643,1174.2,391.4,3,204,665,1174.2,391.4,3,204,239536.8
12644,49.09,12.27,1,0,15,49.09,12.27,1,0,0.0
12645,359.86,19.99,4,283,278,359.86,19.99,4,283,22628.68
12646,247.64,27.52,2,45,170,247.64,27.52,2,45,2476.8
12647,704.01,22.0,10,280,248,704.01,22.0,10,280,61600.0
12648,38.15,12.72,1,0,23,38.15,12.72,1,0,0.0
12649,104.04,17.34,2,105,232,104.04,17.34,2,105,3641.4
12650,4.68,4.68,1,0,12,4.68,4.68,1,0,0.0
12651,27.45,13.72,1,0,9,27.45,13.72,1,0,0.0
12652,91.64,11.46,2,9,68,91.64,11.46,2,9,206.28
12653,513.75,73.39,2,148,169,513.75,73.39,2,148,21723.44
12654,184.35,16.76,5,285,82,184.35,16.76,5,285,23883.0
12656,586.15,23.45,6,216,262,586.15,23.45,6,216,30391.2
12657,347.09,24.79,4,67,392,347.09,24.79,4,67,6643.72
12658,81.9,27.3,1,0,42,81.9,27.3,1,0,0.0
12660,43.05,21.52,1,0,15,43.05,21.52,1,0,0.0
12662,605.82,16.37,10,373,327,605.82,16.37,10,373,61060.1
12664,741.0,123.5,4,306,161,741.0,123.5,4,306,151164.0
12667,99.02,14.15,1,0,80,99.02,14.15,1,0,0.0
12668,679.24,20.58,5,344,280,679.24,20.58,5,344,35397.6
12669,246.54,13.7,2,106,195,246.54,13.7,2,106,2904.4
12670,796.42,36.2,5,222,335,796.42,36.2,5,222,40182.0
12672,27.6,13.8,1,0,24,27.6,13.8,1,0,0.0
12673,54.3,10.86,1,0,65,54.3,10.86,1,0,0.0
12674,430.76,20.51,5,171,294,430.76,20.51,5,171,17536.05
12676,234.34,29.29,5,287,131,234.34,29.29,5,287,42031.15
12678,3583.24,119.44,8,311,1848,3583.24,119.44,8,311,297166.72
12679,136.32,11.36,4,231,70,136.32,11.36,4,231,10496.64
12680,189.33,17.21,3,113,91,189.33,17.21,3,113,5834.19
12681,2554.79,22.61,22,353,1210,2554.79,22.61,22,353,175589.26
12682,2278.1,20.16,28,368,1181,2278.1,20.16,28,368,207728.64
12683,1765.85,22.35,15,361,1147,1765.85,22.35,15,361,121025.25
12684,426.16,21.31,5,189,308,426.16,21.31,5,189,20137.95
12685,639.27,21.31,6,65,286,639.27,21.31,6,65,8310.9
12686,17.4,17.4,1,0,12,17.4,17.4,1,0,0.0
12688,946.42,28.68,1,0,716,946.42,28.68,1,0,0.0
12689,294.8,18.42,2,102,147,294.8,18.42,2,102,3757.68
12690,156.65,31.33,1,0,28,156.65,31.33,1,0,0.0
12691,81.8,27.27,2,87,21,81.8,27.27,2,87,4744.98
12693,266.3,24.21,4,192,68,266.3,24.21,4,192,18593.28
12694,116.8,19.47,2,113,64,116.8,19.47,2,113,4400.22
12695,157.55,26.26,3,203,43,157.55,26.26,3,203,15992.34
12697,217.1,31.01,3,141,70,217.1,31.01,3,141,13117.23
12700,733.73,16.31,4,208,501,733.73,16.31,4,208,13569.92
12701,141.03,15.67,2,163,125,141.03,15.67,2,163,5108.42
12702,59.9,19.97,1,0,22,59.9,19.97,1,0,0.0
12703,74.0,12.33,1,0,60,74.0,12.33,1,0,0.0
12704,327.25,23.38,7,162,107,327.25,23.38,7,162,26512.92
12705,1331.75,18.24,10,342,794,1331.75,18.24,10,342,62380.8
12707,126.54,18.08,1,0,58,126.54,18.08,1,0,0.0
12708,439.28,16.9,11,339,202,439.28,16.9,11,339,63020.1
12709,1809.01,32.3,19,342,906,1809.01,32.3,19,342,209885.4
12710,186.61,12.44,4,105,150,186.61,12.44,4,105,5224.8
12712,828.0,29.57,14,343,174,828.0,29.57,14,343,141995.14
12713,182.56,22.82,1,0,117,182.56,22.82,1,0,0.0
12714,1195.83,21.35,5,285,760,1195.83,21.35,5,285,30423.75
12715,27.0,13.5,1,0,15,27.0,13.5,1,0,0.0
12716,223.72,17.21,2,130,111,223.72,17.21,2,130,4474.6
12717,167.5,16.75,2,94,70,167.5,16.75,2,94,3149.0
12718,14.4,7.2,1,0,36,14.4,7.2,1,0,0.0
12719,139.0,12.64,3,60,90,139.0,12.64,3,60,2275.2
12720,1033.2,13.59,23,367,903,1033.2,13.59,23,367,114713.19
12721,457.15,19.05,7,334,234,457.15,19.05,7,334,44538.9
12722,249.72,17.84,4,65,127,249.72,17.84,4,65,4638.4
12723,182.17,9.59,4,62,98,182.17,9.59,4,62,2378.32
12724,154.3,19.29,3,327,54,154.3,19.29,3,327,18923.49
12725,76.5,19.12,1,0,18,76.5,19.12,1,0,0.0
12726,481.68,21.89,7,329,558,481.68,21.89,7,329,50412.67
12727,1191.55,32.2,6,310,569,1191.55,32.2,6,310,59892.0
12728,130.79,14.53,4,261,88,130.79,14.53,4,261,15169.32
12729,116.08,19.35,1,0,62,116.08,19.35,1,0,0.0
12731,2558.1,62.39,13,341,936,2558.1,62.39,13,341,276574.87
12732,24.5,12.25,1,0,14,24.5,12.25,1,0,0.0
12733,191.65,27.38,1,0,35,191.65,27.38,1,0,0.0
12734,16.8,8.4,1,0,40,16.8,8.4,1,0,0.0
12735,109.4,21.88,2,22,36,109.4,21.88,2,22,962.72
12736,140.4,70.2,1,0,125,140.4,70.2,1,0,0.0
12738,43.55,10.89,1,0,49,43.55,10.89,1,0,0.0
12739,232.62,38.77,1,0,97,232.62,38.77,1,0,0.0
12740,36.4,18.2,1,0,16,36.4,18.2,1,0,0.0
12743,108.67,3.75,2,0,34,108.67,3.75,2,0,0.0
12744,1649.76,41.24,5,262,823,1649.76,41.24,5,262,54024.4
12747,832.35,52.02,8,367,205,832.35,52.02,8,367,152730.72
12748,5931.05,6.2,163,369,5110,5931.05,6.2,163,369,372911.4
12749,891.89,17.49,6,210,309,891.89,17.49,6,210,22037.4
12750,43.5,14.5,1,0,45,43.5,14.5,1,0,0.0
12752,894.24,81.29,1,0,420,894.24,81.29,1,0,0.0
12753,5473.87,96.03,8,340,3059,5473.87,96.03,8,340,261201.6
12754,397.56,30.58,3,73,1067,397.56,30.58,3,73,6697.02
12757,427.01,5.77,10,196,503,427.01,5.77,10,196,11309.2
12758,556.92,26.52,2,160,499,556.92,26.52,2,160,8486.4
12759,287.95,16.0,3,223,170,287.95,16.0,3,223,10704.0
12762,318.72,22.77,2,18,190,318.72,22.77,2,18,819.72
12763,90.66,15.11,1,0,78,90.66,15.11,1,0,0.0
12764,72.6,24.2,1,0,36,72.6,24.2,1,0,0.0
12766,1592.42,23.77,7,363,747,1592.42,23.77,7,363,60399.57
12769,191.85,38.37,1,0,63,191.85,38.37,1,0,0.0
12770,583.74,145.94,1,0,282,583.74,145.94,1,0,0.0
12772,162.49,13.54,1,0,122,162.49,13.54,1,0,0.0
12775,300.94,18.81,5,294,220,300.94,18.81,5,294,27650.7
12778,102.63,12.83,5,251,140,102.63,12.83,5,251,16101.65
12779,801.12,28.61,8,334,316,801.12,28.61,8,334,76445.92
12781,316.74,39.59,2,221,222,316.74,39.59,2,221,17498.78
12782,250.55,19.27,5,353,161,250.55,19.27,5,353,34011.55
12783,395.88,17.99,6,73,153,395.88,17.99,6,73,7879.62
12784,38.75,7.75,1,0,19,38.75,7.75,1,0,0.0
12785,19.8,19.8,1,0,12,19.8,19.8,1,0,0.0
12787,52.4,26.2,2,101,16,52.4,26.2,2,101,5292.4
12790,95.36,19.07,1,0,64,95.36,19.07,1,0,0.0
12792,122.64,13.63,1,0,88,122.64,13.63,1,0,0.0
12793,48.95,16.32,2,37,21,48.95,16.32,2,37,1207.68
12794,92.72,23.18,1,0,58,92.72,23.18,1,0,0.0
12795,163.18,23.31,1,0,28,163.18,23.31,1,0,0.0
12802,91.08,22.77,1,0,38,91.08,22.77,1,0,0.0
12808,107.2,17.87,3,332,44,107.2,17.87,3,332,17798.52
12809,85.2,17.04,1,0,52,85.2,17.04,1,0,0.0
12811,182.3,16.57,2,23,101,182.3,16.57,2,23,762.22
12812,79.3,19.82,1,0,30,79.3,19.82,1,0,0.0
12815,179.9,25.7,2,51,50,179.9,25.7,2,51,2621.4
12816,85.6,21.4,2,81,12,85.6,21.4,2,81,3466.8
12817,40.0,40.0,1,0,1,40.0,40.0,1,0,0.0
12818,480.0,120.0,1,0,57,480.0,120.0,1,0,0.0
12820,171.07,19.01,4,323,107,171.07,19.01,4,323,24560.92
12821,30.12,15.06,1,0,20,30.12,15.06,1,0,0.0
12822,242.65,18.67,2,17,115,242.65,18.67,2,17,634.78
12823,1071.0,357.0,3,222,140,1071.0,357.0,3,222,237762.0
12824,17.7,17.7,1,0,6,17.7,17.7,1,0,0.0
12826,277.06,15.39,7,363,232,277.06,15.39,7,363,39105.99
12827,82.45,16.49,2,39,27,82.45,16.49,2,39,1286.22
12828,314.7,19.67,6,128,120,314.7,19.67,6,128,15106.56
12829,3.5,1.17,3,38,2,3.5,1.17,3,38,133.38
12830,1513.36,189.17,4,134,2332,1513.36,189.17,4,134,101395.12
12831,25.5,25.5,1,0,2,25.5,25.5,1,0,0.0
12832,66.0,16.5,1,0,24,66.0,16.5,1,0,0.0
12833,96.69,19.34,1,0,43,96.69,19.34,1,0,0.0
12834,46.8,15.6,1,0,16,46.8,15.6,1,0,0.0
12836,632.36,14.71,4,252,227,632.36,14.71,4,252,14827.68
12837,38.7,9.68,1,0,8,38.7,9.68,1,0,0.0
12838,91.29,4.35,2,340,44,91.29,4.35,2,340,2958.0
12839,1199.9,18.46,13,365,865,1199.9,18.46,13,365,87592.7
12840,612.25,22.68,6,83,361,612.25,22.68,6,83,11294.64
12841,777.08,8.27,25,367,578,777.08,8.27,25,367,75877.25
12842,340.68,42.58,2,238,180,340.68,42.58,2,238,20268.08
12843,413.89,16.56,6,105,165,413.89,16.56,6,105,10432.8
12844,65.85,5.49,2,101,24,65.85,5.49,2,101,1108.98
12845,9.75,1.39,1,0,7,9.75,1.39,1,0,0.0
12847,248.48,9.56,1,0,265,248.48,9.56,1,0,0.0
12849,128.89,14.32,2,237,123,128.89,14.32,2,237,6787.68
12851,19.99,2.86,1,0,24,19.99,2.86,1,0,0.0
12852,45.65,11.41,2,4,35,45.65,11.41,2,4,91.28
12853,255.55,21.3,6,181,63,255.55,21.3,6,181,23131.8
12854,358.2,14.33,5,240,203,358.2,14.33,5,240,17196.0
12855,27.9,13.95,1,0,18,27.9,13.95,1,0,0.0
12856,542.29,7.23,7,56,265,542.29,7.23,7,56,2834.16
12857,161.95,20.24,2,92,51,161.95,20.24,2,92,3724.16
12865,290.55,13.84,3,333,141,290.55,13.84,3,333,13826.16
12866,83.35,27.78,1,0,13,83.35,27.78,1,0,0.0
12867,877.73,7.02,9,334,961,877.73,7.02,9,334,21102.12
12868,368.09,14.72,6,188,217,368.09,14.72,6,188,16604.16
12872,152.5,9.53,2,39,76,152.5,9.53,2,39,743.34
12873,102.0,102.0,1,0,40,102.0,102.0,1,0,0.0
12876,418.44,27.9,2,139,402,418.44,27.9,2,139,7756.2
12877,242.62,8.99,8,355,192,242.62,8.99,8,355,25531.6
12878,128.8,14.31,2,30,106,128.8,14.31,2,30,858.6
12879,53.1,17.7,2,13,18,53.1,17.7,2,13,460.2
12881,268.3,53.66,1,0,17,268.3,53.66,1,0,0.0
12882,283.2,94.4,2,24,40,283.2,94.4,2,24,4531.2
12883,90.7,18.14,3,65,15,90.7,18.14,3,65,3537.3
12885,242.69,17.34,2,60,161,242.69,17.34,2,60,2080.8
